No,name,region,address,경도,위도,상태
1,청남대,충북 청주시,충청북도 청주시 상당구 문의면 청남대길 646,127.490601854282,36.4622308931084,정좌표
2,단양 수양개빛터널,충북 단양군,충청북도 단양군 적성면 수양개유적로 390,128.332464758928,36.9604654071168,정좌표
4,도담삼봉,충북 단양군,충청북도 단양군 매포읍 삼봉로 644-33,128.343216462563,37.0033972987781,정좌표
5,수안보온천 관광특구,충북 충주시,충청북도 충주시 수안보면 주정산로 12,127.989572024151,36.8483669709815,정좌표
6,중앙탑공원(충주),충북 충주시,충청북도 충주시 중앙탑면 중앙탑길 112-28,127.865422669511,37.0161390542678,정좌표
7,보은 법주사[유네스코 세계문화유산],충북 보은군,충청북도 보은군 속리산면 법주사로 405,127.834112536804,36.5419442838917,정좌표
10,청풍호 관광모노레일,충북 제천시,충청북도 제천시 청풍면 청풍명월로 879-17,128.134034421425,37.003153146602,정좌표
11,충주라이트월드,충북 충주시,충청북도 충주시 남한강로 24,127.905571601322,36.9878309108107,정좌표
12,제천 의림지와 제림,충북 제천시,충청북도 제천시 의림지로 33,128.208085950397,37.1740441194366,정좌표
13,옥천 수생식물학습원,충북 옥천군,충청북도 옥천군 군북면 방아실길 255,127.553063572684,36.3914009609977,정좌표
14,충주 탄금대와 탄금대공원,충북 충주시,충청북도 충주시 탄금대안길 105,127.898290790479,36.9882499414599,정좌표
15,청풍문화재단지,충북 제천시,충청북도 제천시 청풍면 청풍호로 2048,128.17002765318,37.0047177027483,정좌표
16,진천만뢰산 자연생태공원,충북 진천군,충청북도 진천군 진천읍 김유신길 340-38,127.36572029366,36.8499144840737,정좌표
18,청풍호반케이블카,충북 제천시,충청북도 제천시 청풍면 문화재길 166,128.166780311178,37.0012644204331,정좌표
20,충북알프스자연휴양림,충북 보은군,충청북도 보은군 산외면 속리산로 1880,127.785513044026,36.5738035825073,정좌표
21,단양강 잔도,충북 단양군,충청북도 단양군 단양읍 삼봉로 31,128.348990214208,36.981761623481,정좌표
25,월악산국립공원,충북 제천시,충청북도 제천시 한수면 미륵송계로 1647,128.078314198177,36.8870519201378,정좌표
26,단양 방곡도깨비마을,충북 단양군,충청북도 단양군 대강면 선암계곡로 148,128.311647582113,36.8282520440763,정좌표
27,단양 고수동굴,충북 단양군,충청북도 단양군 단양읍 고수동굴길 8,128.381664321798,36.9884508298384,정좌표
29,부소담악(추소정),충북 옥천군,충청북도 옥천군 군북면 추소리 519-1,127.557977935853,36.3481781058156,정좌표
31,화양구곡(화양동계곡),충북 괴산군,충청북도 괴산군 청천면 화양동길 78,127.802429459812,36.6730065410036,정좌표
32,충주호관광선 청풍나루,충북 제천시,충청북도 제천시 청풍면 문화재길 54,128.172619764419,37.0080676090624,정좌표
33,수암골 벽화마을,충북 청주시,충청북도 청주시 상당구 수암로 58,127.494308351042,36.6472977307191,정좌표
34,충주 라바랜드,충북 충주시,충청북도 충주시 남한강로 30,127.907786834316,36.9896949783096,정좌표
35,충주세계무술공원,충북 충주시,충청북도 충주시 남한강로 24,127.905571601322,36.9878309108107,정좌표
36,온달관광지,충북 단양군,충청북도 단양군 영춘면 온달로 23,128.492194825131,37.0628295757202,정좌표
37,속리산 숲체험휴양마을,충북 보은군,충청북도 보은군 속리산면 속리산로 596,127.792629011097,36.4903605384196,정좌표
38,단양 사인암,충북 단양군,충청북도 단양군 대강면 사인암2길 42,128.339997887458,36.8942103949671,정좌표
39,배론성지,충북 제천시,충청북도 제천시 봉양읍 배론성지길 296,128.082146812595,37.1616786138891,정좌표
40,조령산자연휴양림,충북 괴산군,충청북도 괴산군 연풍면 새재로 1795,128.050001316226,36.8114302982412,정좌표
41,중부내륙순환열차(O-트레인),충북 제천시,서울특별시 용산구 한강대로 405,126.971731586488,37.5548360733687,정좌표
43,민주지산 자연휴양림,충북 영동군,충청북도 영동군 용화면 휴양림길 60,127.82507721407,36.0534817369052,정좌표
45,구인사(단양),충북 단양군,충청북도 단양군 영춘면 구인사길 73,128.479408675659,37.0311908996017,정좌표
46,앙성탄산온천,충북 충주시,충청북도 충주시 앙성면 가곡로 1457,127.797192953032,37.093843598284,정좌표
47,상수허브랜드,충북 청주시,충청북도 청주시 서원구 남이면 부용외천길 18,127.426279670268,36.5299576696002,정좌표
49,만수계곡,충북 보은군,충청북도 보은군 속리산면 만수길 136,127.867825653562,36.4953733647679,정좌표
50,충주 미륵대원지,충북 충주시,충청북도 충주시 수안보면 미륵리사지길 150,128.094528965612,36.8343011881295,정좌표
51,미동산수목원,충북 청주시,충청북도 청주시 상당구 미원면 수목원길 51,127.667826879405,36.6260981370872,정좌표
52,청풍호 유람선,충북 제천시,충청북도 제천시 청풍면 청풍호로50길 6,128.17734716054,37.0130819362469,정좌표
53,단양 온달동굴,충북 단양군,충청북도 단양군 영춘면 온달로 23,128.492194825131,37.0628295757202,정좌표
54,충주자연호텔,충북 충주시,충청북도 충주시 살미면 팔봉로 1061,127.955778145712,36.8877551983827,정좌표
