name,region,address,lat,lon
150년 수령 느티나무,서울 양천구,서울 양천구 목4동 760-28,37.53758,126.8687506
3.1독립선언기념탑,서울 서대문구,서울특별시 서대문구 통일로 251,37.5743009,126.9559178
3.1독립운동기념탑,서울 중구,서울특별시 중구 장충단로 91,37.5599921,127.0053457
63스퀘어,서울 영등포구,서울특별시 영등포구 63로 50,37.5194647,126.9398326
AHC스파,서울 강남구,서울특별시 강남구 도산대로 237,37.5216436,127.0329814
DMC 홍보관,서울 마포구,서울특별시 마포구 월드컵북로 366,37.5777446,126.8921565
G밸리 패션지원센터,서울 금천구,서울특별시 금천구 디지털로10길 9,37.4773564,126.8891438
JTBC,서울 마포구,서울특별시 마포구 상암산로 48-6,37.577011,126.8900277
K-Taekwon school 태권도체험,서울 강동구,서울특별시 강동구 고덕로 96,37.5545248,127.1358496
KT스퀘어,서울 종로구,서울특별시 종로구 세종대로 178,37.5721178,126.9779584
MBC WORLD(견학홀),서울 마포구,서울특별시 마포구 성암로 267,37.5740931,126.9035854
SK텔레콤 New ICT체험관 T.um,서울 중구,서울특별시 중구 을지로 65,37.566448,126.985114
SPA 1899 동인비,서울 강남구,서울특별시 강남구 영동대로 416,37.5065419,127.0653161
tbs교통방송,서울 마포구,서울특별시 마포구 매봉산로 31,37.5754986,126.8899652
VRZONE CINEMA(브이알존 시네마),서울 강남구,서울특별시 강남구 도산대로11길 18,37.5185926,127.0226869
VRZONE 용산 아이파크몰점,서울 용산구,서울특별시 용산구 한강대로23길 55,37.5288539,126.9640447
VR스테이션,서울 강남구,서울특별시 강남구 강남대로 364,37.4955366,127.0293521
YTN,서울 마포구,서울특별시 마포구 상암산로 76,37.579488,126.892456
갈산근린공원,서울 양천구,서울특별시 양천구 신정동,37.5166014,126.8638714
감로암(서울),서울 종로구,서울특별시 종로구 율곡로23길 16,37.5752854,127.0066237
강남,서울 강남구,서울특별시 강남구 역삼동,37.4999072,127.0373932
강남 마이스 관광특구,서울 강남구,서울특별시 강남구 영동대로 513,37.5101935,127.0585824
강남 시티투어 - 트롤리버스,서울 강남구,서울특별시 강남구 압구정로 161,37.5270213,127.0357939
강동예찬시비,서울 강동구,서울특별시 강동구 천호동,37.5439937,127.1256452
강변스파랜드,서울 광진구,서울특별시 광진구 구의강변로 45,37.5348617,127.0912641
