name,region,address
‘서편제’ 촬영지,전남 완도군,전라남도 완도군 청산면 당락리
가거도(소흑산도),전남 신안군,전라남도 신안군 흑산면 가거도길 38-2
가계해변,전남 진도군,전라남도 진도군 고군면 신비의바닷길 47
가마골계곡,전남 담양군,전라남도 담양군 용면 용소길 261
가마골생태공원,전남 담양군,전라남도 담양군 용면 용소길 261
가마미해수욕장,전남 영광군,전라남도 영광군 홍농읍 가마미로 355
가사도,전남 진도군,전라남도 진도군 조도면 가사도길 106
가사도 등대,전남 진도군,전라남도 진도군 조도면 가사도돌목길
가사해수욕장,전남 완도군,전라남도 완도군 약산면 가사길
가산서원,전남 장성군,전라남도 장성군 삼서면 영장로 2015
가우도,전남 강진군,전라남도 강진군 도암면 월곶로 473
가우도 출렁다리,전남 강진군,전라남도 강진군 도암면 신기리
가정녹색농촌체험마을,전남 곡성군,전라남도 곡성군 고달면 가정마을길 120
가학산,전남 완도군,전남 완도군 소안면 미라리
각흘도,전남 진도군,전라남도 진도군 조도면 관매작흘도길 6
갈두마을(땅끝마을),전남 해남군,전라남도 해남군 송지면 땅끝마을길 82
갈목도,전남 진도군,전라남도 진도군 조도면 진목도갈목길 10
갓바위 문화타운,전남 목포시,전라남도 목포시 남농로 135
강덕사,전남 강진군,전라남도 강진군 군동면 호라길 199-39
강성서원,전남 장흥군,전라남도 장흥군 유치면 유치로 70
강진 갯들소리마을,전남 강진군,전라남도 강진군 신전면 논정길 10-3
강진 고려청자 요지,전남 강진군,전라남도 강진군 대구면 사당리
강진 금곡사 삼층석탑,전남 강진군,전라남도 강진군 군동면 까치내로 261-21
강진 나이트 드림,전남 강진군,전라남도 강진군 강진읍 보은로4길 5
강진 백련사 동백나무 숲,전남 강진군,전라남도 강진군 도암면 백련사길 145
강진 백사어촌체험마을,전남 강진군,전라남도 강진군 대구면 청자해안길 253
강진 백운동별서정원,전남 강진군,전라남도 강진군 성전면 월하안운길 100-63
강진 병영마을 옛 담장,전남 강진군,전라남도 강진군 병영면 동삼인길 20
강진 삼인리 비자나무,전남 강진군,전라남도 강진군 병영면 동삼인길 28-10
강진 서중어촌체험마을,전남 강진군,전라남도 강진군 마량면 까막섬로 75-7
강진 월남사지 삼층석탑,전남 강진군,전라남도 강진군 성전면 월남1길 100
강진 월남사지 진각국사비,전남 강진군,전라남도 강진군 성전면 월남1길 106-1
강진 전라병영성,전남 강진군,전라남도 강진군 병영면 병영성로 175
강진 청자골달마지마을,전남 강진군,전라남도 강진군 성전면 달마지길 2
강진마도진만호성지,전남 강진군,전라남도 강진군 마량면 마량리
강진만,전남 강진군,전라남도 강진군 신전면 벌정리
강진영랑생가,전남 강진군,전라남도 강진군 강진읍 영랑생가길 15
강진향교,전남 강진군,전라남도 강진군 강진읍 향교로 140
개구리생태공원,전남 담양군,전라남도 담양군 담양읍 메타세쿼이아로 47
개매기체험,전남 장흥군,전라남도 장흥군 대덕읍 신리옹암로 344
개천사,전남 화순군,전라남도 화순군 춘양면 변천길 389
거금도,전남 고흥군,전라남도 고흥군 금산면 일원
거금생태숲,전남 고흥군,전라남도 고흥군 금산면 거금일주로 1809-27
거문도,전남 여수시,전라남도 여수시 삼산면 거문길 103
거문도 등대,전남 여수시,전라남도 여수시 삼산면 거문도등대길 299
거문도 신선바위,전남 여수시,전라남도 여수시 삼산면 거문리
거북선대교,전남 여수시,전라남도 여수시 하멜로
거차뻘배마을,전남 순천시,전라남도 순천시 별량면 거차길 130
겸면목화공원,전남 곡성군,전라남도 곡성군 겸면 곡순로 1864
겸천서원,전남 순천시,전라남도 순천시 주암면 죽림리
경현서원,전남 나주시,전라남도 나주시 노안면 영평리
계마항,전남 영광군,전라남도 영광군 홍농읍 계마리
계송서원,전남 영광군,전라남도 영광군 영광읍 청보리로3길 31
고마리마을,전남 장흥군,전라남도 장흥군 관산읍 고마리
고산 윤선도 유적지,전남 해남군,전라남도 해남군 해남읍 녹우당길 135
고산사(장흥),전남 장흥군,전라남도 장흥군 장평면 하탑동길 120
고산서원,전남 장성군,전라남도 장성군 진원면 고산로 68
고성사(강진),전남 강진군,전라남도 강진군 강진읍 고성길 260
고소동 천사벽화마을,전남 여수시,전라남도 여수시 종화동
고천암호(철새도래지),전남 해남군,전라남도 해남군 황산면 고천암로
고하도 전망대 및 해안데크,전남 목포시,전라남도 목포시 고하도안길 234
고하도이충무공유적,전남 목포시,전라남도 목포시 고하도길 175
고흥 남성어촌체험마을,전남 고흥군,전라남도 고흥군 포두면 남성3길 14-1
