name,region,address,lat,lon
포항함 체험관,경북 포항시,경상북도 포항시 남구 운하로 205,36.041766,129.372922
구미시립중앙도서관,경북 구미시,경상북도 구미시 경은로 85,36.1137978,128.3352215
국립경주박물관,경북 경주시,경상북도 경주시 일정로 186,35.82943009,129.2286819
테디베어뮤지엄 경주,경북 경주시,경상북도 경주시 보문로 280-34,35.85189357,129.2734577
신라역사과학관,경북 경주시,경상북도 경주시 하동공예촌길 33,35.80688551,129.311351
칠곡호국평화기념관,경북 칠곡군,경상북도 칠곡군 석적읍 강변대로 1580,36.01791818,128.4040338
안동소주·전통음식 박물관,경북 안동시,경상북도 안동시 강남로 71-1,36.54976343,128.7086998
효자 정재수 기념관,경북 상주시,경상북도 상주시 화서면 효자로 201,36.41640176,127.922882
포항시립미술관,경북 포항시,경상북도 포항시 북구 환호공원길 10,36.06627642,129.3910762
민물고기생태체험관,경북 울진군,경상북도 울진군 근남면 불영계곡로 3532,36.96655572,129.3809874
독도박물관,경북 울릉도,경상북도 울릉군 울릉읍 약수터길 90-17,37.48341973,130.9008801
상주 자전거박물관,경북 상주시,경상북도 상주시 용마로 415,36.45322838,128.2550613
경상북도독립운동기념관,경북 안동시,경상북도 안동시 임하면 독립기념관길 2,36.53319519,128.8582222
영천보현산천문과학관,경북 영천시,경상북도 영천시 화북면 별빛로 681-32,36.14025487,128.9964736
포항문화예술회관,경북 포항시,경상북도 포항시 남구 희망대로 850,36.00961185,129.3660209
소수박물관,경북 영주시,경상북도 영주시 순흥면 소백로 2780,36.92592352,128.582312
안동민속박물관,경북 안동시,경상북도 안동시 민속촌길 13,36.5760673,128.7644396
군립 청송야송미술관,경북 청송군,경상북도 청송군 진보면 경동로 5162,36.50585697,129.1192011
혼자수미술관,경북 경주시,경상북도 경주시 중앙로 23,35.84192011,129.211461
다부동전적기념관,경북 칠곡군,경상북도 칠곡군 가산면 호국로 1486,36.04644191,128.5188744
구미코,경북 구미시,경상북도 구미시 산동면 첨단기업1로 49,36.14159669,128.4422326
청송민속박물관,경북 청송군,경상북도 청송군 청송읍 주왕산로 222,36.38966103,129.0838038
잉카마야박물관,경북 문경시,경상북도 문경시 가은읍 전곡길 13-10,36.6118532,128.0250188
하회세계탈박물관,경북 안동시,경상북도 안동시 풍천면 전서로 206,36.54896283,128.5274904
구미시문화예술회관,경북 구미시,경상북도 구미시 송정대로 89,36.11837776,128.3489815
시안미술관,경북 영천시,경상북도 영천시 화산면 가래실로 364,36.03276243,128.8892466
국립등대박물관,경북 포항시,경상북도 포항시 남구 호미곶면 해맞이로150번길 20,36.07783791,129.5682565
김천 세계도자기박물관,경북 김천시,경상북도 김천시 대항면 직지사길 118,36.11689511,128.0111915
삼성현 역사문화관,경북 경산시,경상북도 경산시 남산면 상대로 883-30,35.80181,128.796675
한국대중음악박물관 (경주),경북 경주시,경상북도 경주시 엑스포로 9,35.84034042,129.2888922
옛길박물관,경북 문경시,경상북도 문경시 문경읍 새재로 944,36.76313749,128.0764137
객주문학관,경북 청송군,경상북도 청송군 진보면 청송로 6359,36.52344004,129.0398254
문경문화예술회관,경북 문경시,경상북도 문경시 신흥로 85,36.59003854,128.1977795
전통문화콘텐츠박물관,경북 안동시,경상북도 안동시 서동문로 203,36.56623528,128.7339866
