name,region,address,lat,lon
광나루안전체험관,서울 광진구,서울특별시 광진구 능동로 238,37.55131484,127.0771744
국립중앙박물관,서울 용산구,서울특별시 용산구 서빙고로 137,37.52470224,126.9777402
청와대사랑채,서울 종로구,서울특별시 종로구 효자로13길 45,37.58254488,126.9730593
돈의문박물관마을,서울 종로구,서울특별시 종로구 송월길 14-3,37.56882521,126.9685249
서대문형무소역사관,서울 서대문구,서울특별시 서대문구 통일로 251,37.57460851,126.9556118
래미안 갤러리,서울 송파구,서울특별시 송파구 충민로 17,37.47925202,127.1201389
평화문화진지,서울 도봉구,서울특별시 도봉구 마들로 932,37.69078014,127.0468126
서울 트릭아이뮤지엄,서울 마포구,서울특별시 마포구 홍익로3길 20,37.55351606,126.9217154
한국종합무역센터(코엑스),서울 강남구,서울특별시 강남구 영동대로 513,37.51182391,127.059159
국립어린이과학관,서울 종로구,서울특별시 종로구 창경궁로 215,37.58203191,126.9970157
케이스타일허브(K-Style Hub),서울 중구,서울특별시 중구 청계천로 40,37.56852858,126.9816273
전쟁기념관,서울 용산구,서울특별시 용산구 이태원로 29,37.53731405,126.9784661
롯데월드 아쿠아리움,서울 송파구,서울특별시 송파구 올림픽로 300 롯데월드 몰 B1,37.51375196,127.1044469
예술의전당 한가람미술관,서울 서초구,서울특별시 서초구 남부순환로 2406,37.4802402,127.0142152
청원산방,서울 종로구,서울특별시 종로구 북촌로6길 27,37.58042983,126.9863571
서울시립 북서울미술관,서울 노원구,서울특별시 노원구 동일로 1238,37.64066045,127.0668656
서울특별시교육청 과학전시관,서울 관악구,서울특별시 관악구 낙성대로 101,37.46881648,126.9594109
별마당도서관,서울 강남구,서울특별시 강남구 영동대로 513,37.51182391,127.059159
서대문자연사박물관,서울 서대문구,서울특별시 서대문구 연희로32길 51,37.57675199,126.9378582
유관순기념관(서울),서울 중구,서울특별시 중구 통일로4길 30-1,37.56444503,126.9703049
국립고궁박물관,서울 종로구,서울특별시 종로구 효자로 12,37.57659162,126.9749748
서울시립미술관(서소문본관),서울 중구,서울특별시 중구 덕수궁길 61,37.56410607,126.9736993
윤스칼라,서울 마포구,서울특별시 마포구 와우산로14길 12,37.55019009,126.9237415
긱 라이브하우스,서울 마포구,서울특별시 마포구 신촌로10길 7,37.55637961,126.9320433
간송미술관(서울 보화각),서울 중구,서울특별시 중구 을지로 281,37.56801422,127.0109091
환기미술관,서울 종로구,서울특별시 종로구 자하문로40길 63,37.59408777,126.9661137
대한민국역사박물관,서울 종로구,서울특별시 종로구 세종대로 198,37.57371361,126.9783394
송파문화원,서울 송파구,서울특별시 송파구 올림픽로 44,37.51068239,127.0759368
안중근의사기념관,서울 중구,서울특별시 중구 소월로 91,37.55346849,126.9804043
코엑스 아쿠아리움,서울 강남구,서울특별시 강남구 영동대로 513,37.51182391,127.059159
대안공간 루프,서울 마포구,서울특별시 마포구 와우산로29나길 20,37.55447909,126.9278616
전쟁과여성인권박물관,서울 마포구,서울특별시 마포구 월드컵북로11길 20,37.56009763,126.9148871
소마미술관,서울 송파구,서울특별시 송파구 올림픽로 424,37.5203397,127.1155179
서울천년타임캡슐광장,서울 중구,서울특별시 중구 퇴계로34길 28,37.55954623,126.9946802
백범김구기념관,서울 용산구,서울특별시 용산구 임정로 26,37.54427794,126.959253
서울역사박물관,서울 종로구,서울특별시 종로구 새문안로 55,37.57049685,126.9710752
박물관은 살아있다(인사동점),서울 종로구,서울특별시 종로구 인사동길 12,37.57189615,126.9872306
용산공예관,서울 용산구,서울특별시 용산구 이태원로 274,37.53902726,127.0020755
피규어뮤지엄W,서울 강남구,서울특별시 강남구 선릉로158길 3,37.5257998,127.0403866
서울 아이스뮤지엄,서울 마포구,서울특별시 마포구 홍익로3길 20,37.55351606,126.9217154
한양도성박물관,서울 종로구,서울특별시 종로구 율곡로 283,37.57285718,127.0085128
팔레 드 서울,서울 종로구,서울특별시 종로구 자하문로10길 30,37.57921322,126.9732235
삼성미술관 리움,서울 용산구,서울특별시 용산구 이태원로55길 60-16,37.53846127,126.9992941
북촌문화센터,서울 종로구,서울특별시 종로구 계동길 37,37.57908833,126.9862761
국립한글박물관,서울 용산구,서울특별시 용산구 서빙고로 139,37.5210688,126.9804863
국립현대미술관(서울관),서울 종로구,서울특별시 종로구 삼청로 30,37.57862803,126.980088
동덕아트갤러리,서울 종로구,서울특별시 종로구 우정국로 68,37.57493292,126.9833159
둘리뮤지엄,서울 도봉구,서울특별시 도봉구 시루봉로1길 6,37.65242986,127.0276385
서울상상나라,서울 광진구,서울특별시 광진구 능동로 216,37.5520117,127.0787724
샤롯데씨어터,서울 송파구,서울특별시 송파구 올림픽로 240,37.51130961,127.0981418
서울메트로미술관,서울 종로구,서울특별시 종로구 사직로 지하 130,37.5758613,126.9730627
국립현대미술관(덕수궁관),서울 중구,서울특별시 중구 세종대로 99,37.56616815,126.9739838
브이센터 (브이센터 더라이브뮤지엄),서울 강동구,서울특별시 강동구 아리수로61길 103,37.56539313,127.1477152
국기원(세계태권도본부),서울 강남구,서울특별시 강남구 테헤란로7길 32,37.50251536,127.0303909
서울특별시교육청 정독도서관,서울 종로구,서울특별시 종로구 북촌로5길 48,37.58126545,126.9838701
롯데월드 민속박물관,서울 송파구,서울특별시 송파구 올림픽로 240,37.51130961,127.0981418
서울특별시교육청 영등포평생학습관,서울 영등포구,서울특별시 영등포구 버드나루로15길 10,37.52599159,126.9072622
한성백제박물관,서울 송파구,서울특별시 송파구 위례성대로 71,37.51542872,127.1208007
종이나라박물관,서울 중구,서울특별시 중구 장충단로 166,37.55964972,127.0061539
서울남산국악당,서울 중구,서울특별시 중구 퇴계로34길 28,37.55954623,126.9946802
중랑구립정보도서관,서울 중랑구,서울특별시 중랑구 신내로15길 197,37.61517057,127.0869064
